title,artist,mood,energy,language,link
Hindi Track 18,Various,Energetic,4,Hindi,
Hindi Track 19,Various,Calm,5,Hindi,
Hindi Track 20,Various,Focus,1,Hindi,
Tamil Track 01,Various,Happy,2,Tamil,
Tamil Track 02,Various,Sad,3,Tamil,
Tamil Track 03,Various,Energetic,4,Tamil,
Tamil Track 04,Various,Calm,5,Tamil,
Tamil Track 05,Various,Focus,1,Tamil,
Tamil Track 06,Various,Happy,2,Tamil,
Tamil Track 07,Various,Sad,3,Tamil,
Tamil Track 08,Various,Energetic,4,Tamil,
Tamil Track 09,Various,Calm,5,Tamil,
Tamil Track 10,Various,Focus,1,Tamil,
Tamil Track 11,Various,Happy,2,Tamil,
Tamil Track 12,Various,Sad,3,Tamil,
Tamil Track 13,Various,Energetic,4,Tamil,
Tamil Track 14,Various,Calm,5,Tamil,
Tamil Track 15,Various,Focus,1,Tamil,
Tamil Track 16,Various,Happy,2,Tamil,
Tamil Track 17,Various,Sad,3,Tamil,
Tamil Track 18,Various,Energetic,4,Tamil,
Tamil Track 19,Various,Calm,5,Tamil,
Tamil Track 20,Various,Focus,1,Tamil,
Malayalam Track 01,Various,Happy,2,Malayalam,
Malayalam Track 02,Various,Sad,3,Malayalam,
Malayalam Track 03,Various,Energetic,4,Malayalam,
Malayalam Track 04,Various,Calm,5,Malayalam,
Malayalam Track 05,Various,Focus,1,Malayalam,
Malayalam Track 06,Various,Happy,2,Malayalam,
Malayalam Track 07,Various,Sad,3,Malayalam,
Malayalam Track 08,Various,Energetic,4,Malayalam,
Malayalam Track 09,Various,Calm,5,Malayalam,
Malayalam Track 10,Various,Focus,1,Malayalam,
Malayalam Track 11,Various,Happy,2,Malayalam,
Malayalam Track 12,Various,Sad,3,Malayalam,
Malayalam Track 13,Various,Energetic,4,Malayalam,
Malayalam Track 14,Various,Calm,5,Malayalam,
Malayalam Track 15,Various,Focus,1,Malayalam,
Malayalam Track 16,Various,Happy,2,Malayalam,
Malayalam Track 17,Various,Sad,3,Malayalam,
Malayalam Track 18,Various,Energetic,4,Malayalam,
Malayalam Track 19,Various,Calm,5,Malayalam,
Malayalam Track 20,Various,Focus,1,Malayalam,
English Track 01,Various,Happy,2,English,
English Track 02,Various,Sad,3,English,
English Track 03,Various,Energetic,4,English,
English Track 04,Various,Calm,5,English,
English Track 05,Various,Focus,1,English,
English Track 06,Various,Happy,2,English,
English Track 07,Various,Sad,3,English,
English Track 08,Various,Energetic,4,English,
English Track 09,Various,Calm,5,English,
English Track 10,Various,Focus,1,English,
English Track 11,Various,Happy,2,English,
English Track 12,Various,Sad,3,English,
English Track 13,Various,Energetic,4,English,
English Track 14,Various,Calm,5,English,
English Track 15,Various,Focus,1,English,
English Track 16,Various,Happy,2,English,
English Track 17,Various,Sad,3,English,
English Track 18,Various,Energetic,4,English,
English Track 19,Various,Calm,5,English,
English Track 20,Various,Focus,1,English,
adiyeee,thomas,Happy,4,Tamil,https://www.youtube.com/watch?v=wvnBHdl5MJo
